date,open,high,low,close,volume,year,month,day,day_of_week,quarter
2025-05-23,2664.7,2725.35,2647.71,2716.07,0,2025,5,23,4,2
2025-05-21,2524.16,2614.06,2454.54,2552.35,0,2025,5,21,2,2
2025-05-20,2529.14,2585.62,2446.45,2524.17,0,2025,5,20,1,2
2025-05-19,2498.8,2545.46,2353.43,2529.17,0,2025,5,19,0,2
2025-05-18,2475.77,2585.7,2344.67,2498.23,0,2025,5,18,6,2
2025-05-17,2536.3,2537.78,2449.07,2475.75,0,2025,5,17,5,2
2025-05-16,2547.06,2645.61,2532.03,2536.3,0,2025,5,16,4,2
2025-05-15,2610.03,2645.07,2482.21,2546.86,0,2025,5,15,3,2
2025-05-14,2680.26,2721.95,2549.69,2610.06,0,2025,5,14,2,2
2025-05-13,2496.34,2736.89,2418.33,2680.13,0,2025,5,13,1,2
2025-05-12,2510.29,2620.9,2411.59,2496.4,0,2025,5,12,0,2
2025-05-11,2582.71,2603.26,2441.73,2510.24,0,2025,5,11,6,2
2025-05-10,2345.76,2597.54,2320.24,2582.42,0,2025,5,10,5,2
2025-05-09,2206.13,2486.01,2186.05,2345.51,0,2025,5,9,4,2
2025-05-08,1811.55,2222.21,1809.46,2206.51,0,2025,5,8,3,2
2025-05-07,1815.02,1849.66,1788.69,1811.61,0,2025,5,7,2,2
2025-05-06,1819.73,1820.8,1753.32,1815.09,0,2025,5,6,1,2
2025-05-05,1808.7,1832.05,1783.31,1819.7,0,2025,5,5,0,2
2025-05-04,1833.65,1850.0,1804.5,1808.59,0,2025,5,4,6,2
2025-05-03,1842.72,1848.25,1812.82,1833.84,0,2025,5,3,5,2
2025-05-02,1839.17,1869.53,1814.73,1842.71,0,2025,5,2,4,2
2025-05-01,1794.04,1872.94,1793.15,1839.22,0,2025,5,1,3,2
2025-04-30,1799.21,1816.69,1736.14,1793.78,0,2025,4,30,2,2
2025-04-29,1798.91,1842.03,1782.28,1799.18,0,2025,4,29,1,2
2025-04-28,1792.45,1827.48,1747.73,1798.85,0,2025,4,28,0,2
2025-04-27,1822.18,1856.44,1785.9,1792.86,0,2025,4,27,6,2
2025-04-26,1786.53,1839.36,1781.47,1821.88,0,2025,4,26,5,2
2025-04-25,1770.0,1826.7,1740.33,1786.63,0,2025,4,25,4,2
2025-04-24,1795.98,1801.69,1724.74,1769.83,0,2025,4,24,3,2
2025-04-23,1757.2,1829.71,1746.92,1796.1,0,2025,4,23,2,2
2025-04-22,1579.82,1773.64,1542.0,1757.33,0,2025,4,22,1,2
2025-04-21,1587.46,1656.12,1566.15,1579.73,0,2025,4,21,0,2
2025-04-20,1612.97,1618.44,1566.69,1587.51,0,2025,4,20,6,2
2025-04-19,1588.97,1629.05,1585.47,1612.92,0,2025,4,19,5,2
2025-04-18,1582.4,1599.42,1573.9,1588.92,0,2025,4,18,4,2
2025-04-17,1578.01,1615.31,1564.2,1582.55,0,2025,4,17,3,2
2025-04-16,1589.03,1610.78,1540.03,1578.11,0,2025,4,16,2,2
2025-04-15,1622.77,1659.84,1585.23,1588.63,0,2025,4,15,1,2
2025-04-14,1596.88,1689.86,1596.09,1622.77,0,2025,4,14,0,2
2025-04-13,1643.5,1648.29,1564.84,1596.69,0,2025,4,13,6,2
2025-04-12,1567.16,1666.02,1546.82,1643.53,0,2025,4,12,5,2
2025-04-11,1522.47,1587.54,1505.0,1567.15,0,2025,4,11,4,2
2025-04-10,1668.2,1669.39,1474.91,1522.52,0,2025,4,10,3,2
2025-04-09,1472.6,1687.19,1386.8,1668.04,0,2025,4,9,2,2
2025-04-08,1554.93,1617.34,1447.61,1472.55,0,2025,4,8,1,2
2025-04-07,1576.95,1634.04,1415.37,1555.24,0,2025,4,7,0,2
2025-04-06,1805.96,1815.57,1539.44,1576.73,0,2025,4,6,6,2
2025-04-05,1815.34,1826.3,1767.51,1805.97,0,2025,4,5,5,2
2025-04-04,1815.61,1833.96,1760.59,1815.34,0,2025,4,4,4,2
2025-04-03,1794.98,1844.07,1751.38,1815.64,0,2025,4,3,3,2
2025-04-02,1905.48,1951.18,1782.76,1795.31,0,2025,4,2,2,2
2025-04-01,1823.56,1926.3,1820.35,1905.49,0,2025,4,1,1,2
2025-03-31,1806.32,1852.55,1778.69,1823.48,0,2025,3,31,0,1
2025-03-30,1827.31,1847.57,1769.41,1806.22,0,2025,3,30,6,1
2025-03-29,1895.55,1911.9,1799.2,1827.32,0,2025,3,29,5,1
2025-03-28,2002.41,2015.45,1863.01,1895.5,0,2025,3,28,4,1
2025-03-27,2008.94,2037.4,1987.72,2002.36,0,2025,3,27,3,1
2025-03-26,2067.51,2078.37,1982.41,2009.19,0,2025,3,26,2,1
2025-03-25,2078.57,2096.52,2038.64,2067.76,0,2025,3,25,1,1
2025-03-24,2005.72,2101.98,1978.76,2077.48,0,2025,3,24,0,1
2025-03-23,1979.98,2019.89,1977.71,2005.3,0,2025,3,23,6,1
2025-03-22,1964.94,2005.04,1964.27,1980.04,0,2025,3,22,5,1
2025-03-21,1981.85,1994.89,1937.21,1964.85,0,2025,3,21,4,1
2025-03-20,2057.95,2067.48,1952.24,1982.1,0,2025,3,20,3,1
2025-03-19,1932.54,2068.76,1928.25,2057.75,0,2025,3,19,2,1
2025-03-18,1927.01,1935.18,1872.51,1932.54,0,2025,3,18,1,1
2025-03-17,1887.45,1951.63,1880.48,1927.0,0,2025,3,17,0,1
2025-03-16,1937.38,1940.47,1863.49,1887.44,0,2025,3,16,6,1
2025-03-15,1909.53,1955.24,1904.97,1937.39,0,2025,3,15,5,1
2025-03-14,1863.0,1945.09,1861.11,1909.47,0,2025,3,14,4,1
2025-03-13,1909.02,1919.69,1823.53,1862.97,0,2025,3,13,3,1
2025-03-12,1919.66,1954.57,1832.02,1908.98,0,2025,3,12,2,1
2025-03-11,1859.78,1961.8,1760.94,1919.84,0,2025,3,11,1,1
2025-03-10,2015.43,2150.71,1812.77,1861.15,0,2025,3,10,0,1
2025-03-09,2201.71,2210.31,1991.19,2015.51,0,2025,3,9,6,1
2025-03-08,2139.8,2232.33,2107.73,2201.51,0,2025,3,8,5,1
2025-03-07,2202.5,2254.23,2103.47,2138.99,0,2025,3,7,4,1
2025-03-06,2241.91,2319.4,2177.68,2202.48,0,2025,3,6,3,1
2025-03-05,2169.99,2272.8,2156.1,2241.98,0,2025,3,5,2,1
2025-03-04,2145.65,2220.36,1996.77,2170.02,0,2025,3,4,1,1
2025-03-03,2519.53,2522.32,2097.08,2145.57,0,2025,3,3,0,1
2025-03-02,2216.52,2548.81,2175.32,2519.69,0,2025,3,2,6,1
2025-03-01,2237.94,2279.87,2144.09,2216.64,0,2025,3,1,5,1
2025-02-28,2305.56,2310.95,2076.17,2237.91,0,2025,2,28,4,1
2025-02-27,2331.51,2378.09,2230.45,2305.48,0,2025,2,27,3,1
2025-02-26,2493.38,2503.42,2255.05,2331.45,0,2025,2,26,2,1
2025-02-25,2514.21,2529.67,2326.63,2493.59,0,2025,2,25,1,1
2025-02-24,2820.46,2839.01,2478.9,2513.82,0,2025,2,24,0,1
2025-02-23,2764.03,2850.61,2746.77,2821.31,0,2025,2,23,6,1
2025-02-22,2660.04,2797.06,2653.87,2764.03,0,2025,2,22,5,1
2025-02-21,2740.02,2842.83,2616.92,2659.66,0,2025,2,21,4,1
2025-02-20,2715.68,2770.03,2708.22,2740.39,0,2025,2,20,3,1
2025-02-19,2669.21,2735.92,2656.38,2715.77,0,2025,2,19,2,1
2025-02-18,2743.02,2754.68,2606.9,2669.34,0,2025,2,18,1,1
2025-02-17,2663.23,2848.78,2640.18,2743.2,0,2025,2,17,0,1
2025-02-16,2693.56,2724.1,2655.3,2663.32,0,2025,2,16,6,1
2025-02-15,2726.07,2738.68,2668.53,2693.56,0,2025,2,15,5,1
2025-02-14,2675.94,2790.02,2666.27,2726.09,0,2025,2,14,4,1
2025-02-13,2737.03,2756.44,2615.67,2675.9,0,2025,2,13,3,1
2025-02-12,2602.83,2794.87,2551.17,2736.9,0,2025,2,12,2,1
2025-02-11,2661.32,2724.9,2565.4,2602.78,0,2025,2,11,1,1
2025-02-10,2628.65,2692.81,2564.02,2661.17,0,2025,2,10,0,1
2025-02-09,2632.58,2695.22,2530.44,2628.72,0,2025,2,9,6,1
2025-02-08,2623.0,2665.48,2591.78,2632.31,0,2025,2,8,5,1
2025-02-07,2688.9,2798.03,2564.97,2622.21,0,2025,2,7,4,1
2025-02-06,2787.66,2857.14,2662.45,2688.4,0,2025,2,6,3,1
2025-02-05,2735.23,2824.4,2701.1,2787.78,0,2025,2,5,2,1
2025-02-04,2883.82,2888.25,2636.17,2735.05,0,2025,2,4,1,1
2025-02-03,2868.08,2919.48,2159.28,2884.57,0,2025,2,3,0,1
2025-02-02,3118.61,3161.89,2755.47,2868.69,0,2025,2,2,6,1
2025-02-01,3298.82,3329.66,3103.92,3118.33,0,2025,2,1,5,1
2025-01-31,3247.87,3437.57,3214.94,3298.27,0,2025,1,31,4,1
2025-01-30,3113.29,3282.99,3093.12,3247.78,0,2025,1,30,3,1
2025-01-29,3076.38,3177.98,3055.18,3113.0,0,2025,1,29,2,1
2025-01-28,3179.09,3222.74,3040.09,3077.11,0,2025,1,28,1,1
2025-01-27,3235.86,3250.4,3024.09,3178.92,0,2025,1,27,0,1
2025-01-26,3317.29,3359.31,3233.92,3236.13,0,2025,1,26,6,1
2025-01-25,3309.71,3349.3,3270.27,3317.27,0,2025,1,25,5,1
2025-01-24,3334.81,3424.9,3277.32,3309.55,0,2025,1,24,4,1
2025-01-23,3240.48,3346.73,3184.07,3334.71,0,2025,1,23,3,1
2025-01-22,3327.24,3364.75,3223.39,3240.22,0,2025,1,22,2,1
2025-01-21,3278.44,3365.78,3202.49,3327.41,0,2025,1,21,1,1
2025-01-20,3208.93,3444.28,3147.52,3278.04,0,2025,1,20,0,1
2025-01-19,3305.4,3444.21,3127.62,3208.96,0,2025,1,19,6,1
2025-01-18,3473.56,3493.06,3228.33,3305.79,0,2025,1,18,5,1
2025-01-17,3308.19,3525.54,3307.31,3474.11,0,2025,1,17,4,1
2025-01-16,3450.31,3458.18,3265.68,3308.35,0,2025,1,16,3,1
2025-01-15,3223.68,3473.1,3186.14,3450.54,0,2025,1,15,2,1
2025-01-14,3135.67,3254.75,3126.81,3223.68,0,2025,1,14,1,1
2025-01-13,3266.1,3335.19,2920.59,3135.5,0,2025,1,13,0,1
2025-01-12,3282.15,3298.02,3224.51,3265.95,0,2025,1,12,6,1
2025-01-11,3267.52,3317.65,3219.7,3282.22,0,2025,1,11,5,1
2025-01-10,3219.5,3320.5,3196.11,3267.49,0,2025,1,10,4,1
2025-01-09,3326.36,3355.86,3159.38,3219.43,0,2025,1,9,3,1
2025-01-08,3381.62,3413.68,3209.21,3326.33,0,2025,1,8,2,1
2025-01-07,3688.34,3701.11,3358.09,3381.58,0,2025,1,7,1,1
2025-01-06,3634.11,3743.94,3611.21,3688.61,0,2025,1,6,0,1
2025-01-05,3657.74,3673.81,3594.62,3634.1,0,2025,1,5,6,1
2025-01-04,3605.2,3669.2,3574.33,3657.71,0,2025,1,4,5,1
2025-01-03,3451.68,3627.06,3421.83,3605.01,0,2025,1,3,4,1
2025-01-02,3353.41,3493.45,3348.35,3451.39,0,2025,1,2,3,1
2025-01-01,3332.41,3366.53,3310.26,3353.5,0,2025,1,1,2,1
2024-12-31,3356.39,3444.4,3311.41,3332.53,0,2024,12,31,1,4
2024-12-30,3349.59,3428.53,3298.8,3356.39,0,2024,12,30,0,4
2024-12-29,3397.86,3406.65,3321.66,3349.51,0,2024,12,29,6,4
2024-12-28,3328.77,3419.92,3318.03,3397.9,0,2024,12,28,5,4
2024-12-27,3331.05,3436.71,3302.58,3328.92,0,2024,12,27,4,4
2024-12-26,3493.3,3512.6,3302.31,3331.23,0,2024,12,26,3,4
2024-12-25,3491.96,3542.83,3440.1,3493.24,0,2024,12,25,2,4
2024-12-24,3415.74,3535.86,3355.61,3492.05,0,2024,12,24,1,4
2024-12-23,3277.51,3461.53,3217.37,3415.79,0,2024,12,23,0,4
2024-12-22,3337.0,3398.66,3219.29,3277.54,0,2024,12,22,6,4
2024-12-21,3472.59,3552.92,3293.51,3337.22,0,2024,12,21,5,4
2024-12-20,3417.93,3496.33,3098.2,3472.55,0,2024,12,20,4,4
2024-12-19,3619.58,3717.66,3330.87,3417.93,0,2024,12,19,3,4
2024-12-18,3886.89,3902.72,3617.84,3618.79,0,2024,12,18,2,4
2024-12-17,3987.33,4040.34,3849.29,3886.77,0,2024,12,17,1,4
2024-12-16,3951.65,4106.96,3882.71,3987.48,0,2024,12,16,0,4
2024-12-15,3868.44,3971.5,3832.1,3951.94,0,2024,12,15,6,4
2024-12-14,3910.85,3943.28,3826.76,3868.41,0,2024,12,14,5,4
2024-12-13,3883.03,3967.4,3855.02,3911.21,0,2024,12,13,4,4
2024-12-12,3833.17,3987.01,3800.09,3883.1,0,2024,12,12,3,4
2024-12-11,3631.28,3850.77,3567.57,3832.82,0,2024,12,11,2,4
2024-12-10,3719.0,3780.75,3520.37,3631.83,0,2024,12,10,1,4
2024-12-09,4006.1,4008.78,3525.23,3718.69,0,2024,12,9,0,4
2024-12-08,4007.69,4018.0,3927.85,4005.7,0,2024,12,8,6,4
2024-12-07,4006.03,4029.45,3974.18,4002.69,0,2024,12,7,5,4
2024-12-06,3792.21,4093.17,3782.68,4005.81,0,2024,12,6,4,4
2024-12-05,3840.84,3956.54,3683.42,3811.01,0,2024,12,5,3,4
2024-12-04,3620.04,3895.17,3617.74,3841.33,0,2024,12,4,2,4
2024-12-03,3643.74,3670.22,3504.23,3620.71,0,2024,12,3,1,4
2024-12-02,3710.5,3761.34,3557.25,3644.2,0,2024,12,2,0,4
2024-12-01,3706.62,3747.46,3663.23,3711.17,0,2024,12,1,6,4
2024-11-30,3593.6,3739.93,3572.25,3705.71,0,2024,11,30,5,4
2024-11-29,3579.91,3647.26,3538.45,3593.49,0,2024,11,29,4,4
2024-11-28,3656.61,3664.88,3531.87,3579.81,0,2024,11,28,3,4
2024-11-27,3326.03,3687.01,3303.57,3657.25,0,2024,11,27,2,4
2024-11-26,3412.95,3461.29,3255.54,3326.52,0,2024,11,26,1,4
2024-11-25,3364.6,3545.28,3304.09,3413.54,0,2024,11,25,0,4
2024-11-24,3397.0,3451.8,3288.43,3363.66,0,2024,11,24,6,4
2024-11-23,3331.65,3499.37,3317.65,3396.22,0,2024,11,23,5,4
2024-11-22,3360.65,3428.46,3262.81,3331.6,0,2024,11,22,4,4
2024-11-21,3072.06,3388.54,3035.85,3361.05,0,2024,11,21,3,4
2024-11-20,3111.12,3159.95,3032.6,3072.19,0,2024,11,20,2,4
2024-11-19,3208.25,3222.0,3070.36,3111.38,0,2024,11,19,1,4
2024-11-18,3075.72,3225.13,3052.49,3207.86,0,2024,11,18,0,4
2024-11-17,3133.31,3160.15,3039.25,3075.66,0,2024,11,17,6,4
2024-11-16,3089.74,3218.09,3073.29,3133.27,0,2024,11,16,5,4
2024-11-15,3059.53,3130.7,3016.14,3103.04,0,2024,11,15,4,4
2024-11-14,3192.52,3240.27,3032.97,3058.95,0,2024,11,14,3,4
2024-11-13,3244.54,3337.88,3121.67,3192.6,0,2024,11,13,2,4
2024-11-12,3375.15,3444.15,3211.2,3246.26,0,2024,11,12,1,4
2024-11-11,3191.66,3389.53,3109.77,3374.81,0,2024,11,11,0,4
2024-11-10,3130.73,3249.91,3073.25,3191.33,0,2024,11,10,6,4
2024-11-09,2962.79,3156.37,2957.18,3131.14,0,2024,11,9,5,4
2024-11-08,2895.6,2983.74,2889.48,2962.3,0,2024,11,8,4,4
2024-11-07,2724.01,2918.74,2701.59,2895.59,0,2024,11,7,3,4
2024-11-06,2422.54,2743.96,2421.81,2724.17,0,2024,11,6,2,4
2024-11-05,2397.04,2478.62,2380.6,2422.65,0,2024,11,5,1,4
2024-11-04,2456.1,2488.35,2359.58,2397.03,0,2024,11,4,0,4
2024-11-03,2491.09,2495.44,2411.4,2456.43,0,2024,11,3,6,4
2024-11-02,2512.21,2522.36,2471.96,2491.07,0,2024,11,2,5,4
2024-11-01,2515.87,2583.78,2467.82,2511.89,0,2024,11,1,4,4
2024-10-31,2657.21,2667.56,2501.57,2515.8,0,2024,10,31,3,4
2024-10-30,2637.64,2720.27,2600.61,2657.37,0,2024,10,30,2,4
